Metric,Non-CD,CD,Difference/OR
In-hospital Mortality - Crude Rate,22.4%,39.4%,17.1%
In-hospital Mortality - Age-Adjusted Rate,15.3%,29.5%,14.2%
28-day Mortality - Crude Rate,20.0%,28.8%,8.7%
28-day Mortality - Age-Adjusted Rate,13.1%,20.1%,7.0%
,,,
In-hospital Mortality - Crude OR (95% CI),Reference,2.26 (2.22-2.30),
In-hospital Mortality - Age-Adjusted OR (95% CI),Reference,2.43 (2.38-2.47),
In-hospital Mortality - Fully Adjusted OR (95% CI),Reference,2.41 (2.37-2.46),
28-day Mortality - Crude OR (95% CI),Reference,1.61 (1.58-1.64),
28-day Mortality - Age-Adjusted OR (95% CI),Reference,1.73 (1.70-1.77),
28-day Mortality - Fully Adjusted OR (95% CI),Reference,1.73 (1.69-1.76),
