Organism,Count
Escherichia coli,35304
Candida albicans,22065
Pseudomonas aeruginosa,16106
Methicillin resistant Staphylococcus aureus,13735
Klebsiella pneumoniae,10494
Enterococcus faecium,9699
Staphylococcus aureus,6908
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,6735
Stenotrophomonas maltophilia,6688
Klebsiella pneumoniae complex,5792
"Staphylococcus, coagulase negative",5637
Klebsiella species,5250
Proteus mirabilis,5089
Candida tropicalis,4627
Enterococcus faecalis,4430
Candida glabrata,4234
Enterococcus species,3845
Candida species,3605
Candida parapsilosis,2638
Corynebacterium striatum,2618
Mycobacterium tuberculosis,2401
Yeast,2232
Enterobacter cloacae complex,2102
Diphtheroids,2014
Acinetobacter species,1849
Staphylococcus epidermidis,1835
Klebsiella aerogenes,1593
Alpha-haemolytic streptococcus,1535
Enterobacter species,1455
Morganella morganii,1275
Coliform bacteria,1140
Mycobacterium species,1089
Streptococcus agalactiae,1069
Neisseria species,995
Aeromonas species,941
Gram-negative bacilli,930
Citrobacter species,929
Mycobacterium tuberculosis complex,920
Clostridioides difficile,906
Streptococcus pyogenes,905
Rothia mucilaginosa,868
Proteus species,855
Bacteroides fragilis,851
Candida parapsilosis complex,840
Streptococcus anginosus,836
Acinetobacter baumannii,737
Clostridium perfringens,651
Bacteroides species,632
Streptococcus pneumoniae,631
Haemophilus influenzae,589
Bacillus species,588
Bacteroides fragilis group,586
Citrobacter koseri,543
Serratia species,536
"Streptococcus, group G",507
Burkholderia cepacia complex,478
Enterococcus avium,473
Lactobacillus species,452
Corynebacterium species,441
Pseudomonas species,403
Serratia marcescens,402
"Streptococcus, viridans group",397
Acinetobacter baumannii group,382
Vibrio vulnificus,370
Providencia stuartii,356
Staphylococcus haemolyticus,352
Streptococcus constellatus,345
Klebsiella oxytoca,341
Pichia kudriavzevii,337
Salmonella group D,336
Trichosporon asahii,329
Staphylococcus capitis,324
Enterococcus gallinarum,317
Streptococcus species,306
Streptococcus milleri group,297
Salmonella Enteritidis,293
Staphylococcus lugdunensis,274
Gram-positive cocci,256
Citrobacter freundii complex,245
Mycobacterium avium complex,241
Streptococcus mitis group,240
Streptococcus bovis group,239
Candida lusitaniae,229
Candida dubliniensis,214
Candida auris,209
Talaromyces marneffei,201
Enterococcus raffinosus,176
Achromobacter species,169
Elizabethkingia species,165
Enterococcus casseliflavus,162
Enterobacter cloacae,160
Trichosporon species,159
Citrobacter freundii,157
Streptococcus dysgalactiae subsp. equisimilis,156
Non-haemolytic streptococcus,156
Aspergillus fumigatus,151
Haemophilus parainfluenzae,148
Aspergillus species,146
Anaerobic Gram-negative bacilli,144
Salmonella group B,140
Streptococcus dysgalactiae,136
Candida guilliermondii,135
Mycobacterium abscessus,132
Aeromonas hydrophila,132
Prevotella species,131
