Organism,Count
Candida albicans,12216
Escherichia coli,11756
Pseudomonas aeruginosa,11140
Methicillin resistant Staphylococcus aureus,8485
Stenotrophomonas maltophilia,5480
"Staphylococcus, coagulase negative",5362
Enterococcus species,4086
Klebsiella species,3773
Enterococcus faecium,3660
Klebsiella pneumoniae,3507
Candida species,3185
Staphylococcus aureus,2896
Acinetobacter species,2781
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,2663
Candida tropicalis,2217
Candida glabrata,1912
Yeast,1764
Diphtheroids,1593
Enterococcus faecalis,1529
Enterobacter species,1413
Proteus mirabilis,1382
Candida parapsilosis,1352
Klebsiella pneumoniae complex,1270
Corynebacterium striatum,1068
Alpha-haemolytic streptococcus,1027
Acinetobacter baumannii,858
Enterobacter cloacae complex,756
Staphylococcus epidermidis,747
Klebsiella aerogenes,706
Coliform bacteria,705
Mycobacterium tuberculosis,689
Neisseria species,640
Bacillus species,633
Proteus species,623
Morganella morganii,587
Clostridioides difficile,562
Citrobacter species,472
Mycobacterium species,462
Rothia mucilaginosa,454
Candida parapsilosis complex,447
Serratia species,431
Acinetobacter baumannii group,414
Gram-negative bacilli,411
Pseudomonas species,351
Bacteroides fragilis,337
Serratia marcescens,271
Bacteroides species,232
Streptococcus agalactiae,230
Haemophilus influenzae,224
Bacteroides fragilis group,222
Lactobacillus species,204
Enterobacter cloacae,195
Aeromonas species,195
Corynebacterium species,194
Klebsiella oxytoca,191
Burkholderia cepacia,186
Burkholderia cepacia complex,179
Pichia kudriavzevii,174
Elizabethkingia meningoseptica,153
Staphylococcus haemolyticus,152
Staphylococcus capitis,150
Streptococcus milleri group,148
"Streptococcus, viridans group",145
Trichosporon species,136
Aspergillus fumigatus,133
Streptococcus anginosus,133
Candida lusitaniae,133
Mycobacterium tuberculosis complex,130
Streptococcus pneumoniae,122
Citrobacter koseri,121
Achromobacter species,116
"Streptococcus, group G",113
Enterococcus avium,113
Cryptococcus neoformans,109
Trichosporon asahii,109
Clostridium perfringens,109
Salmonella group D,107
Flavobacterium species,105
Non-haemolytic streptococcus,104
Streptococcus species,101
Enterococcus gallinarum,100
Anaerobic Gram-negative bacilli,96
Achromobacter xylosoxidans,87
Providencia stuartii,86
Mould,84
Aspergillus species,84
Staphylococcus species,83
Micrococcus species,82
Corynebacterium jeikeium,81
Streptococcus pyogenes,81
Staphylococcus lugdunensis,80
Candida auris,76
Kodamaea ohmeri,76
Mycobacterium avium complex,75
Chryseobacterium indologenes,72
Streptococcus constellatus,72
Providencia species,72
Candida dubliniensis,71
Gram-positive cocci,71
Citrobacter freundii complex,71
Streptococcus mitis group,67
Enterococcus raffinosus,64
Anaerobic Gram-positive cocci,63
Candida guilliermondii,63
Clostridium species,63
Gram-positive bacilli,62
Streptococcus bovis group,60
Haemophilus parainfluenzae,60
Anaerobic Gram-positive bacilli,59
Citrobacter freundii,57
Cutibacterium acnes,56
Bacteroides thetaiotaomicron,55
Salmonella Enteritidis,55
Staphylococcus caprae,50
Aeromonas hydrophila,49
Peptostreptococcus species,49
Eggerthella lenta,46
Aspergillus flavus,45
Prevotella species,45
Leuconostoc species,44
Veillonella species,43
Proteus vulgaris,41
Propionibacterium species,41
Salmonella group B,41
Talaromyces marneffei,37
Elizabethkingia species,37
Sphingomonas paucimobilis,35
Saccharomyces cerevisiae,34
Streptococcus mitis,32
Corynebacterium urealyticum,31
Moraxella catarrhalis,31
Chryseobacterium species,31
Salmonella group C,31
Mycobacterium abscessus,29
Streptococcus dysgalactiae subsp. equisimilis,29
Non-fermentative Gram-negative bacilli,28
Bacillus cereus group,27
Bacillus cereus,27
Moraxella species,26
Candida metapsilosis,25
Bacteroides vulgatus,25
Fusobacterium species,24
Bacteroides ovatus,23
Actinomyces species,23
Burkholderia species,23
Parabacteroides distasonis,21
Candida krusei,21
Candida orthopsilosis,21
Fusarium species,21
Prevotella bivia,20
Mycoplasma hominis,20
Anaerobic bacteria,20
Haemophilus parahaemolyticus,19
Alcaligenes species,19
Staphylococcus hominis,19
Prevotella melaninogenica,18
Enterococcus casseliflavus,17
Pseudomonas putida,17
Trichophyton rubrum,17
Micrococcus luteus,17
Carbapenem resistant Acinetobacter baumannii,17
Klebsiella variicola,17
Rhizopus species,16
Granulicatella adiacens,16
Serratia marcescens complex,16
Sphingomonas species,16
Malassezia pachydermatis,15
Fusobacterium varium,15
Chryseobacterium gleum,15
Streptococcus salivarius,14
Gemella species,14
Aspergillus fumigatus complex,14
Aeromonas caviae,14
Acid-fast bacillus,13
Clostridium ramosum,13
Arcanobacterium haemolyticum,13
Kluyvera species,13
Finegoldia magna,13
Acinetobacter junii,13
Ochrobactrum species,12
Alcaligenes faecalis,12
Streptococcus salivarius group,12
Prevotella buccae,12
Providencia rettgeri,12
Listeria monocytogenes,12
Beta-haemolytic streptococcus,12
Shewanella species,12
Mycobacterium chelonae,11
Salmonella species,11
Lactobacillus paracasei,11
Lactobacillus fermentum,11
Enterobacter hormaechei,11
Capnocytophaga species,11
Clostridium tertium,11
Streptococcus oralis,11
Raoultella species,10
Parvimonas micra,10
Elizabethkingia anophelis,10
Legionella pneumophila serogroup 1,10
Bacteroides uniformis,10
Delftia acidovorans,10
Clostridium innocuum,9
"Streptococcus, group C",9
Streptococcus parasanguinis,9
Bordetella bronchiseptica,9
Streptococcus sanguinis,9
Candida famata,9
Acinetobacter haemolyticus,9
Bacillus licheniformis,9
Aeromonas sobria,9
Mycobacterium fortuitum complex,9
Streptococcus dysgalactiae,9
Vibrio vulnificus,9
Malassezia species,9
Mycobacterium kansasii,8
Kocuria species,8
Aeromonas veronii biovar sobria,8
Gram-positive coccobacilli,8
Mucor species,8
Rhodotorula species,8
Salmonella group E,8
Corynebacterium amycolatum,8
Bifidobacterium species,8
Corynebacterium tuberculostearicum,8
Ralstonia mannitolilytica,8
Acinetobacter bereziniae,8
Rhodotorula rubra,8
Streptococcus intermedius,7
Aggregatibacter actinomycetemcomitans,7
Rhizobium radiobacter,7
Lactobacillus salivarius,7
Trichophyton species,7
Actinomyces odontolyticus,7
Corynebacterium resistens,7
Salmonella london,7
Kluyveromyces marxianus,7
Malassezia furfur,7
Campylobacter jejuni,7
Staphylococcus warneri,7
Lactococcus species,7
Corynebacterium pseudodiphtheriticum,7
Staphylococcus saccharolyticus,7
Peptostreptococcus anaerobius,7
Exophiala dermatitidis,7
Ochrobactrum anthropi,7
"Mycobacterium, non-TB",7
Prevotella intermedia,7
Plesiomonas shigelloides,7
Penicillium species,7
Pseudomonas fluorescens,6
Eubacterium species,6
Campylobacter coli,6
Lodderomyces elongisporus,6
Anaerobic Gram-negative cocci,6
Candida nivariensis,6
Pandoraea pnomenusa,6
Salmonella rissen,6
Vibrio fluvialis,6
Aspergillus niger,6
Nocardia species,6
Clostridium sporogenes,6
Streptococcus gallolyticus subspecies pasteurianus,6
Clavispora lusitaniae,6
Fusobacterium mortiferum,6
Pseudomonas mendocina,6
Moraxella osloensis,6
Actinomyces turicensis,6
Geotrichum species,6
Proteus penneri,6
Cupriavidus gilardii,6
Bacteroides caccae,6
Staphylococcus saprophyticus,5
Trichosporon mucoides,5
Pluralibacter gergoviae,5
Pichia species,5
Pantoea species,5
Shewanella algae,5
Absidia corymbifera,5
Abiotrophia defectiva,5
Haemophilus haemolyticus,5
Aeromonas veronii,5
Aspergillus terreus,5
Citrobacter youngae,5
Bacillus cereus group not Bacillus anthracis,5
Bacteroides eggerthii,5
Burkholderia gladioli,5
Lactobacillus,5
Paenibacillus lautus,4
Pediococcus species,4
Lactobacillus rhamnosus,4
Roseomonas species,4
Citrobacter amalonaticus,4
Absidia species,4
Parabacteroides gordonii,4
