Organism,Count
Escherichia coli,46959
Candida albicans,34181
Pseudomonas aeruginosa,27233
Methicillin resistant Staphylococcus aureus,22122
Klebsiella pneumoniae,13924
Enterococcus faecium,13346
Stenotrophomonas maltophilia,12110
"Staphylococcus, coagulase negative",10905
Staphylococcus aureus,9779
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,9380
Klebsiella species,8993
Enterococcus species,7859
Klebsiella pneumoniae complex,7062
Candida tropicalis,6808
Candida species,6729
Proteus mirabilis,6460
Candida glabrata,6128
Enterococcus faecalis,5952
Acinetobacter species,4625
Yeast,3993
Candida parapsilosis,3983
Corynebacterium striatum,3668
Diphtheroids,3590
Mycobacterium tuberculosis,3070
Enterobacter species,2857
Enterobacter cloacae complex,2846
Staphylococcus epidermidis,2582
Alpha-haemolytic streptococcus,2537
Klebsiella aerogenes,2295
Morganella morganii,1854
Coliform bacteria,1845
Neisseria species,1621
Acinetobacter baumannii,1595
Mycobacterium species,1551
Proteus species,1472
Clostridioides difficile,1457
Citrobacter species,1398
Gram-negative bacilli,1339
Rothia mucilaginosa,1305
Streptococcus agalactiae,1298
Candida parapsilosis complex,1287
Bacillus species,1220
Bacteroides fragilis,1185
Aeromonas species,1134
Mycobacterium tuberculosis complex,1050
Streptococcus pyogenes,985
Streptococcus anginosus,968
Serratia species,963
Bacteroides species,864
Haemophilus influenzae,810
Bacteroides fragilis group,805
Acinetobacter baumannii group,796
Clostridium perfringens,760
Streptococcus pneumoniae,752
Pseudomonas species,751
Serratia marcescens,663
Citrobacter koseri,662
Lactobacillus species,654
Burkholderia cepacia complex,646
Corynebacterium species,635
"Streptococcus, group G",620
Enterococcus avium,586
"Streptococcus, viridans group",542
Klebsiella oxytoca,528
Pichia kudriavzevii,509
Staphylococcus haemolyticus,504
Staphylococcus capitis,474
Salmonella group D,443
Streptococcus milleri group,443
Providencia stuartii,440
Trichosporon asahii,438
Streptococcus constellatus,417
Enterococcus gallinarum,416
Streptococcus species,405
Vibrio vulnificus,379
Candida lusitaniae,357
Enterobacter cloacae,355
Staphylococcus lugdunensis,353
Salmonella Enteritidis,348
Gram-positive cocci,327
Citrobacter freundii complex,316
Mycobacterium avium complex,316
Streptococcus mitis group,307
Streptococcus bovis group,299
Trichosporon species,295
Burkholderia cepacia,292
Achromobacter species,285
Candida auris,285
Candida dubliniensis,285
Aspergillus fumigatus,283
Non-haemolytic streptococcus,260
Elizabethkingia meningoseptica,251
Anaerobic Gram-negative bacilli,239
Talaromyces marneffei,238
Enterococcus raffinosus,237
Aspergillus species,230
Cryptococcus neoformans,222
Citrobacter freundii,213
Flavobacterium species,209
Haemophilus parainfluenzae,207
Elizabethkingia species,202
Staphylococcus species,202
Micrococcus species,200
Candida guilliermondii,197
Streptococcus dysgalactiae subsp. equisimilis,185
Bacteroides thetaiotaomicron,183
Aeromonas hydrophila,181
Salmonella group B,181
Achromobacter xylosoxidans,180
Enterococcus casseliflavus,179
Prevotella species,176
Corynebacterium jeikeium,175
Gram-positive bacilli,174
Anaerobic Gram-positive cocci,171
Staphylococcus caprae,170
Clostridium species,163
Mycobacterium abscessus,161
Cutibacterium acnes,158
Peptostreptococcus species,156
Eggerthella lenta,155
Moraxella catarrhalis,155
Providencia species,154
Kodamaea ohmeri,154
Anaerobic Gram-positive bacilli,153
Anaerobic bacteria,148
Streptococcus dysgalactiae,142
Corynebacterium urealyticum,140
Staphylococcus hominis,139
Candida krusei,139
Fusobacterium species,139
Candida metapsilosis,138
Mould,128
Propionibacterium species,128
Actinomyces species,126
Chryseobacterium species,117
Sphingomonas paucimobilis,114
Chryseobacterium indologenes,114
Proteus vulgaris,112
Aspergillus flavus,107
Burkholderia pseudomallei,104
Streptococcus salivarius group,103
Bacillus cereus group,101
Klebsiella variicola,101
Veillonella species,101
Acid-fast bacillus,101
Streptococcus intermedius,99
Prevotella bivia,97
Streptococcus gallolyticus subspecies pasteurianus,94
Shewanella species,93
Burkholderia species,92
Candida orthopsilosis,92
Salmonella group C,92
Bacteroides vulgatus,89
Fusarium species,87
