Year,Unique_Patients,Total_Admissions,Rate_%,YoY_Change,YoY_Pct_Change
2003,845,5671,14.900370305060836,,
2004,967,6756,14.313203078744818,122.0,14.437869822485208
2005,1055,7985,13.212273011897308,88.0,9.100310237849017
2006,973,8218,11.839863713798977,-82.0,-7.772511848341232
2007,841,7501,11.211838421543794,-132.0,-13.566289825282633
2008,871,9737,8.945260347129507,30.0,3.56718192627824
2009,1140,16835,6.771606771606771,269.0,30.884041331802525
2010,1298,20689,6.27386533906907,158.0,13.859649122807017
2011,1213,19074,6.359442172590961,-85.0,-6.548536209553159
2012,1195,17020,7.021151586368977,-18.0,-1.483924154987634
2013,1093,15142,7.218333113195087,-102.0,-8.535564853556485
2014,2001,25674,7.7938770740827295,908.0,83.07410795974383
2015,2924,32687,8.945452320494386,923.0,46.12693653173413
2016,4620,47729,9.679649688868402,1696.0,58.00273597811218
2017,6248,63096,9.902370990237099,1628.0,35.23809523809524
2018,7541,73526,10.256235889345264,1293.0,20.69462227912932
2019,8276,77380,10.695270095631946,735.0,9.746717941917519
2020,7596,70531,10.769732458068084,-680.0,-8.216529724504591
2021,8503,75267,11.297115601790958,907.0,11.940494997367034
2022,9120,79275,11.504257332071901,617.0,7.256262495589792
2023,8868,76064,11.658603281447203,-252.0,-2.763157894736842
2024,8621,74094,11.635220125786164,-247.0,-2.7852954442940914
2025,9030,74332,12.148199967712426,409.0,4.744229207748521
