Year,Mean_Age,Median_Age,Min_Age,Max_Age,Std_Age
2001,61.6036308623298,67.0,19,100,17.639407985235497
2002,64.84548104956268,70.0,18,104,19.446412274560966
2003,64.83977643223102,69.0,18,106,18.024665753696308
2004,65.25346202266051,69.0,18,103,17.798089843384304
2005,65.40129573170732,69.0,18,102,17.809775933267087
2006,65.41718506998444,69.0,18,107,17.52812221061413
2007,64.76315789473684,68.0,18,103,18.199287309131073
2008,65.84834896045659,70.0,18,104,18.25257346057376
2009,66.0672864099159,70.0,18,112,18.256510207424785
2010,66.56364749082007,71.0,18,103,18.829038443544707
2011,65.69666490206458,68.0,18,102,18.254573216604754
2012,65.8908499767766,68.0,18,107,18.00037883926694
2013,65.86164325244785,68.0,18,106,18.256268136160553
2014,66.53343195266272,68.0,18,110,17.36360811320309
2015,66.31762702242408,68.0,18,109,17.204894574517066
2016,65.96135419993612,67.0,18,106,17.32786933081355
2017,65.59250302297461,67.0,18,103,16.39375644031244
2018,66.86481741573034,68.0,18,105,16.055236524175747
2019,67.18355995055624,68.0,18,105,16.930491759625564
2020,67.75657298277426,69.0,18,107,17.063104232371497
2021,68.35142915895538,69.0,18,108,16.93494465252455
2022,68.14038078999715,70.0,18,108,16.59193770435001
2023,68.56585707613264,69.0,18,110,16.27008616690931
