combination,count,percentage
creatinine,83917,21.768183386380908
bili,62930,16.324127179295623
lact,39993,10.37423833277562
plt,29457,7.641185671706835
vasopressor,26117,6.774785150828917
creatinine+plt,16972,4.402559772556893
vasopressor+creatinine,14149,3.6702697514675635
creatinine+bili,11769,3.0528945300036576
creatinine+lact,10918,2.832143978127278
creatinine+bili+plt,8700,2.256791775939487
bili+plt,7410,1.9221640298519078
vasopressor+lact,6751,1.7512185378583307
vasopressor+creatinine+lact,6332,1.6425293707182562
vasopressor+creatinine+plt,5690,1.4759937017351357
bili+lact,4741,1.2298218172102422
vasopressor+creatinine+plt+lact,3999,1.037346012871495
creatinine+plt+lact,3840,0.9961011976560494
vasopressor+creatinine+bili+plt+lact,3780,0.9805371164426736
creatinine+bili+plt+lact,3561,0.923728220013852
vasopressor+creatinine+bili+plt,3139,0.8142608488131092
vasopressor+plt,2930,0.7600459659198502
plt+lact,2634,0.6832631652671963
vasopressor+creatinine+bili,2607,0.6762593287211772
creatinine+bili+lact,2413,0.6259354661312623
vasopressor+bili,2098,0.5442240397610394
ventilation,1899,0.4926031704033431
vasopressor+creatinine+bili+lact,1781,0.46199381068370415
vasopressor+plt+lact,1338,0.3470790110582797
ventilation+creatinine,1294,0.33566535150180415
bili+plt+lact,1252,0.3247704946524411
vasopressor+ventilation+creatinine,948,0.24591248317133718
vasopressor+ventilation,912,0.23657403444331174
vasopressor+bili+lact,884,0.22931079654373637
vasopressor+bili+plt,859,0.2228257627048298
vasopressor+ventilation+creatinine+lact,623,0.16160704326555175
vasopressor+ventilation+lact,530,0.13748271738481932
vasopressor+bili+plt+lact,507,0.13151648625302526
ventilation+lact,487,0.12632845918190003
ventilation+creatinine+plt,471,0.1221780375249998
vasopressor+ventilation+creatinine+plt,426,0.11050497661496798
vasopressor+ventilation+creatinine+plt+lact,413,0.10713275901873655
ventilation+creatinine+lact,406,0.10531694954384271
vasopressor+ventilation+creatinine+bili+plt+lact,397,0.10298233736183635
ventilation+creatinine+bili+plt,388,0.10064772517982999
ventilation+creatinine+bili+plt+lact,354,0.09182807915891705
vasopressor+ventilation+creatinine+bili+plt,332,0.08612124938067926
ventilation+creatinine+bili,257,0.06666614786395955
ventilation+creatinine+plt+lact,257,0.06666614786395955
ventilation+bili,215,0.05577129101459651
vasopressor+ventilation+creatinine+bili,192,0.04980505988280247
ventilation+plt,183,0.0474704477007961
vasopressor+ventilation+creatinine+bili+lact,182,0.04721104634723984
ventilation+creatinine+bili+lact,144,0.03735379491210185
vasopressor+ventilation+plt,130,0.033722175962314166
vasopressor+ventilation+plt+lact,94,0.02438372723428871
ventilation+bili+plt,84,0.02178971369872608
vasopressor+ventilation+bili,80,0.02075210828450103
ventilation+plt+lact,70,0.0181580947489384
vasopressor+ventilation+bili+lact,58,0.015045278506263245
ventilation+bili+plt+lact,58,0.015045278506263245
ventilation+bili+lact,58,0.015045278506263245
vasopressor+ventilation+bili+plt,48,0.012451264970700617
vasopressor+ventilation+bili+plt+lact,45,0.011673060910031828
