Dx/Px Description (HAMDCT),count
Pneumonia (486:0),9037
Urinary tract infection (599.0:0),2561
Sepsis (038.9:5),2244
Fever (780.6:5),1632
E. coli septicemia (038.42:0),1558
Choledocholithiasis (574.50:0),1474
Cholangitis (576.1:0),1336
COVID-19 (519.8:8),1300
Liver abscess (572.0:0),1274
AML (205.00:0),1129
Malig lymphoma extranod/ solid org (202.80:0),944
Septic shock (785.59:2),933
"Cancer of liver, primary (155.0:0)",859
Septicemia (038.9:0),803
Respiratory failure (518.81:0),789
Acute cholecystitis (575.0:0),766
Chronic renal failure (585.9:0),753
Congestive heart failure (428.0:0),725
Acute cholangitis (576.1:1),715
Subendocardial AMI initial episode (410.71:1),693
Cardiac arrest (427.5:0),674
Acute renal failure (584.9:0),659
Multiple myeloma (203.00:0),607
Neutropenic fever (288.0:5),569
Klebsiella septicemia (038.49:3),535
Necrotizing fasciitis (728.86:0),502
"ICH, non-traumatic (431:0)",486
Cancer of bronchus and lung (162.9:0),461
Cancer of pancreas - head (157.0:0),461
Pseudomonas pneumonia (482.1:0),450
COPD (496:1),441
Klebsiella pneumonia (482.0:0),423
"Pneumonia, staphylococcus (482.4:0)",423
Cellulitis & abscess of leg (682.6:0),410
"Cancer upper lobe, bronchus/ lung (162.3:0)",398
Death (799.9:11),391
Infective endocarditis (421.0:999),372
Cerebral art occlusion + infarct (434.91:0),369
Cancer of rectum (154.1:0),366
CAPD peritonitis (996.68:1),364
Lymphosarcoma (200.10:0),349
Pyonephrosis (590.80:4),343
Acute lymphoid leukemia (204.00:0),333
Acute respiratory failure (518.81:4),332
Pneumonia gram -ve bacteria (482.83:0),322
Cancer of sigmoid colon (153.3:0),317
Cancer of female breast (174.9:0),316
Bacteremia (790.7:0),310
Abdominal pain (789.00:0),303
Gastritis (535.50:1),303
Pyelonephritis (590.80:0),278
Ischaemic bowel (557.9:1),255
Influenza A (487.1:3),252
SLE (710.0:0),252
AML in complete remission (205.01:0),249
No abnormality detected (V71.9:1),240
Acute pancreatitis (577.0:0),239
Fluid overload (276.6:0),238
Rupture abdominal aortic aneurysm (441.3:0),237
# femur trochanter - closed (820.20:0),237
Acute pyelonephritis (590.10:0),235
Food/vomit pneumonitis (507.0:0),230
"Anterior AMI, initial (410.11:0)",226
Calculus of ureter (592.1:0),224
"Cancer lower lobe, bronchus/ lung (162.5:0)",220
Influenza with pneumonia (487.0:0),219
Cholangiocarcinoma (156.9:1),219
Pulmonary TB by micro exam (011.93:0),215
Pneumococcal pneumonia (481:0),212
"Cardiac arrest, abort/success resu (427.5:3)",211
"Transcervical fracture hip, closed (820.02:1)",210
Cerebral embolism with infarct (434.11:0),207
Cancer of nasopharynx (147.9:0),203
Small bowel perforation (569.83:9),202
Decreased general condition (799.4:1),197
Acute hepatic failure (570:1),197
Klebsiella pneumoniae septicemia (038.49:4),195
Cardiogenic shock (785.51:0),195
