Death Cause (Main Cause),count
J189,13283
A419,2753
I219,1176
N390,966
C349,889
C189,768
N180,732
C220,661
I500,617
C259,584
C859,548
I259,545
R99,520
C221,511
K830,508
I64,493
C80,493
J690,458
J969,427
C920,420
I200,419
C169,417
K659,407
N179,399
K922,375
K729,358
K559,339
J449,327
C20,320
I629,269
K746,254
I619,254
C509,248
R54,225
U071,221
N19,218
K85,208
L89,197
J989,194
N189,192
I509,183
C959,164
C679,163
I639,160
C229,158
C119,153
C61,153
C23,152
C780,148
C187,148
C159,145
K631,141
C900,132
K566,132
C539,128
C56,128
F03,120
I330,120
I269,119
A162,116
J180,110
C838,110
M725,107
I119,106
I609,104
R02,94
J81,89
C910,87
A169,87
I469,86
K750,86
T07,79
C64,76
I679,75
C549,73
I713,73
E14,73
D65,71
K720,70
K550,69
K810,67
C241,67
C950,67
I710,64
G931,64
S099,63
I420,62
J152,59
B342,59
C719,59
M329,59
K265,57
R788,55
I21,55
I10,53
K275,53
I613,51
K650,49
D469,47
I620,46
J129,45
I249,44
I694,44
C499,43
C170,42
G039,41
J441,39
J47,39
R570,39
K269,38
I251,37
K661,35
K703,35
C139,34
C180,34
R579,33
J90,33
C921,32
C851,32
S065,31
C819,31
J849,31
I099,31
T71,31
J80,30
B49,30
C845,30
C19,29
A415,28
S069,28
G049,28
C029,27
I214,27
R093,27
J111,27
E872,26
I255,26
J869,26
N12,26
C837,26
C55,25
D432,25
E118,24
C419,24
A499,24
E877,24
N10,24
C329,23
R58,23
D619,23
I48,23
A09,22
I514,22
I110,22
K767,21
B181,21
B379,21
K819,21
P220,20
A199,20
T401,20
C482,20
I615,20
T58,19
K759,19
C240,19
C787,19
I614,19
I499,18
M009,18
C945,18
J459,17
G20,17
J841,16
C85,16
A021,16
J852,16
I350,16
J128,16
K255,16
G936,16
L511,16
R048,16
M726,16
J181,15
C66,15
I714,15
T751,15
K65,15
C90,15
C911,15
I429,14
C793,14
T402,14
C762,14
K929,14
C73,14
C95,14
I850,14
L089,14
E142,13
K259,13
I99,13
I718,13
C691,12
G060,12
B451,12
T179,12
L039,12
A183,12
A022,12
I270,12
R042,12
C449,12
B169,11
I319,11
J46,11
K83,11
C179,11
C439,11
C109,11
G419,11
G309,11
K261,11
D70,11
S068,11
I776,11
I712,11
G409,11
C443,10
G122,10
C009,10
K573,10
J100,10
M869,10
K260,10
E141,10
T141,10
J11,10
R571,10
I739,10
D379,10
I490,10
A412,10
C37,9
C099,9
D649,9
M331,9
G700,9
I472,9
C763,9
C942,9
J942,9
G009,9
B259,9
J448,9
C795,9
K26,9
K625,9
G934,9
L97,9
I711,9
I719,9
S370,9
K578,8
I61,8
M069,8
A170,8
I442,8
T810,8
J939,8
C480,8
C786,8
L029,8
C53,8
R092,8
A418,8
K55,8
C629,8
R53,8
S066,8
A410,8
I428,8
T172,8
K254,7
C79,7
I60,7
I634,7
C901,7
I279,7
C269,7
K803,7
N200,7
C160,7
C52,7
J628,7
G919,7
J960,7
J985,6
K859,6
B96,6
M86,6
M311,6
I802,6
I409,6
M469,6
T319,6
C184,6
M600,6
B95,6
C250,6
K579,6
K223,6
I240,6
I38,6
B182,6
T670,6
L024,6
K572,6
C924,6
I312,6
I495,6
R090,6
D471,6
K704,6
C833,6
C181,6
C58,6
P236,6
S097,6
I635,6
K72,6
C788,6
K565,5
J984,5
C543,5
C798,5
G210,5
E875,5
I85,5
K274,5
E059,5
N151,5
A86,5
D479,5
C519,5
K658,5
I729,5
J439,5
K709,5
C63,5
J42,5
E85,5
I313,5
I859,5
T860,5
M622,5
E10,5
K551,5
K639,5
N136,5
C182,5
C451,5
K570,5
K27,5
E883,5
A044,5
K562,5
E148,5
K350,5
I698,5
C060,5
C210,5
T426,5
T68,5
K769,5
M300,5
K721,5
J219,4
C07,4
I723,4
J121,4
C880,4
A047,4
K628,4
K264,4
K509,4
T887,4
C059,4
B440,4
C709,4
I716,4
S720,4
C069,4
T509,4
I516,4
I351,4
E140,4
J96,4
K761,4
I340,4
S729,4
P91,4
K831,4
A748,4
C492,4
J64,4
K743,4
C913,4
L512,4
T430,4
J110,4
B376,4
T174,4
I63,4
K519,4
J390,4
A480,4
I72,4
I339,4
R57,4
E86,4
T814,4
I120,4
D329,4
E147,4
J91,4
C050,4
B250,4
A810,4
B24,4
C925,4
I517,4
D693,4
I11,4
C729,4
I519,4
N498,4
A319,4
E101,3
K768,3
J86,3
T40,3
M310,3
G06,3
C779,3
C785,3
K56,3
C749,3
T303,3
A498,3
K673,3
J851,3
