Organism_Combination,Count
,75953
Escherichia coli,11318
Pseudomonas aeruginosa,2598
Methicillin resistant Staphylococcus aureus,2050
Candida albicans,2008
Staphylococcus aureus,1945
Klebsiella pneumoniae complex,1508
Klebsiella pneumoniae,1358
Proteus mirabilis,1115
Enterococcus faecalis,790
"Staphylococcus, coagulase negative",784
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,777
Enterococcus faecium,653
Escherichia coli | Methicillin resistant Staphylococcus aureus,544
Candida glabrata,497
Streptococcus agalactiae,465
Enterococcus faecalis | Escherichia coli,446
Escherichia coli | Klebsiella pneumoniae complex,439
Escherichia coli | Pseudomonas aeruginosa,437
Klebsiella species,433
Candida albicans | Escherichia coli,433
Escherichia coli | Klebsiella pneumoniae,423
Escherichia coli | Proteus mirabilis,372
Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,364
Enterobacter cloacae complex,360
Klebsiella aerogenes,352
Candida tropicalis,346
Mycobacterium tuberculosis,279
Morganella morganii,250
Enterococcus faecium | Escherichia coli,249
Haemophilus influenzae,244
Escherichia coli | Staphylococcus aureus,242
Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,225
Coliform bacteria,218
Corynebacterium striatum,217
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli,201
Citrobacter koseri,193
Stenotrophomonas maltophilia,190
Candida albicans | Pseudomonas aeruginosa,186
Citrobacter species,185
Candida albicans | Methicillin resistant Staphylococcus aureus,183
Diphtheroids,183
Candida albicans | Enterococcus faecium,170
Escherichia coli | Klebsiella species,155
Candida species,148
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus,142
"Escherichia coli | Staphylococcus, coagulase negative",141
Candida glabrata | Escherichia coli,138
Serratia species,127
Mycobacterium avium complex,126
Clostridioides difficile,126
Mycobacterium species | Mycobacterium tuberculosis,126
Mycobacterium species | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,125
Salmonella group D,125
Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,124
Pseudomonas aeruginosa | Staphylococcus aureus,124
Streptococcus anginosus,121
Methicillin resistant Staphylococcus aureus | Proteus mirabilis,117
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Pseudomonas aeruginosa,113
Streptococcus species,111
Candida parapsilosis,102
Staphylococcus epidermidis,101
Enterococcus faecium | Pseudomonas aeruginosa,100
Coliform bacteria | Escherichia coli,100
Staphylococcus lugdunensis,98
Candida albicans | Staphylococcus aureus,98
Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,95
