Organism_Combination,Count,Year
,137,2003
Escherichia coli,45,2003
Pseudomonas aeruginosa,16,2003
Candida albicans,14,2003
Klebsiella species,10,2003
Bacillus species,9,2003
Acinetobacter species,8,2003
Enterococcus species,7,2003
Candida species,7,2003
Candida albicans | Methicillin resistant Staphylococcus aureus,6,2003
Enterococcus species | Escherichia coli,6,2003
Candida species | Escherichia coli,6,2003
Methicillin resistant Staphylococcus aureus,5,2003
Escherichia coli | Klebsiella species,5,2003
Escherichia coli | Methicillin resistant Staphylococcus aureus,5,2003
"Staphylococcus, coagulase negative",5,2003
Klebsiella pneumoniae,5,2003
Klebsiella pneumoniae | Klebsiella species,5,2003
Candida albicans | Escherichia coli,4,2003
Candida albicans | Enterococcus species,3,2003
Enterococcus species | Methicillin resistant Staphylococcus aureus,3,2003
Staphylococcus aureus,3,2003
Candida albicans | Enterococcus species | Escherichia coli,3,2003
Acinetobacter species | Klebsiella species,3,2003
Stenotrophomonas maltophilia,3,2003
Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,3,2003
Candida albicans | Staphylococcus aureus,2,2003
Enterococcus faecalis | Escherichia coli,2,2003
Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus,2,2003
Candida albicans | Yeast,2,2003
Enterococcus species | Escherichia coli | Pseudomonas aeruginosa,2,2003
Enterobacter species,2,2003
Bacteroides fragilis,2,2003
Escherichia coli | Pseudomonas aeruginosa,2,2003
Salmonella Typhi,2,2003
Staphylococcus epidermidis,2,2003
Acinetobacter species | Candida albicans,2,2003
Coliform bacteria | Escherichia coli,2,2003
Enterococcus faecalis,2,2003
Escherichia coli | Klebsiella pneumoniae,2,2003
Klebsiella pneumoniae | Pseudomonas aeruginosa,2,2003
Escherichia coli | Streptococcus milleri group,2,2003
Candida albicans | Pseudomonas aeruginosa,2,2003
Candida albicans | Klebsiella species,2,2003
Candida albicans | Enterococcus species | Pseudomonas aeruginosa,2,2003
Acinetobacter species | Candida albicans | Methicillin resistant Staphylococcus aureus,2,2003
"Bacillus species | Methicillin resistant Staphylococcus aureus | Pichia kudriavzevii | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1,2003
Acinetobacter species | Candida species | Coliform bacteria | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2003
Candida albicans | Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus epidermidis | Stenotrophomonas maltophilia,1,2003
Candida albicans | Klebsiella species | Yeast,1,2003
Aeromonas hydrophila,1,2003
"Streptococcus agalactiae | Streptococcus, viridans group",1,2003
Acinetobacter species | Escherichia coli | Methicillin resistant Staphylococcus aureus,1,2003
Candida glabrata | Citrobacter species | Citrobacter youngae | Klebsiella species | Yeast,1,2003
Escherichia coli | Mycobacterium species | Mycobacterium tuberculosis,1,2003
Acinetobacter species | Candida species | Escherichia coli,1,2003
"Staphylococcus aureus | Streptococcus, group G",1,2003
"Elizabethkingia meningoseptica | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1,2003
Enterococcus species | Escherichia coli | Yeast,1,2003
"Haemophilus influenzae | Klebsiella aerogenes | Staphylococcus, coagulase negative",1,2003
"Achromobacter xylosoxidans | Bacteroides species | Enterobacter cloacae | Enterococcus species | Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae | Klebsiella species | Morganella morganii | Proteus species | Pseudomonas species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2003
Bacteroides species | Enterococcus faecium | Enterococcus species | Escherichia coli | Gemella species | Gram-positive cocci | Morganella morganii | Non-haemolytic streptococcus | Pseudomonas aeruginosa | Pseudomonas species | Staphylococcus epidermidis | Streptococcus constellatus | Streptococcus milleri group,1,2003
Candida albicans | Mycobacterium tuberculosis,1,2003
Acinetobacter baumannii | Acinetobacter species | Chryseobacterium indologenes | Stenotrophomonas maltophilia,1,2003
Acinetobacter baumannii | Candida albicans | Candida species,1,2003
"Acinetobacter species | Candida albicans | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus, group G",1,2003
