Organism,Count
Escherichia coli,43405
Pseudomonas aeruginosa,20555
Methicillin resistant Staphylococcus aureus,18860
Candida albicans,17810
Staphylococcus aureus,12083
Enterococcus faecium,11995
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,11888
Klebsiella pneumoniae,8716
Klebsiella pneumoniae complex,8659
Proteus mirabilis,8656
Enterococcus faecalis,6758
"Staphylococcus, coagulase negative",4994
Candida glabrata,4837
Mycobacterium tuberculosis,4586
Candida tropicalis,3955
Corynebacterium striatum,3690
Stenotrophomonas maltophilia,3056
Klebsiella species,3036
Diphtheroids,2657
Enterobacter cloacae complex,2548
Klebsiella aerogenes,2285
Streptococcus agalactiae,2173
Mycobacterium species,2077
Morganella morganii,2076
Mycobacterium tuberculosis complex,2058
Coliform bacteria,1682
Staphylococcus epidermidis,1477
Streptococcus anginosus,1457
Candida parapsilosis,1456
Candida species,1365
Citrobacter species,1347
Bacteroides fragilis,1154
Clostridioides difficile,1062
Serratia species,1052
Mycobacterium avium complex,957
"Streptococcus, group G",945
Citrobacter koseri,860
Enterobacter species,804
Candida parapsilosis complex,748
Alpha-haemolytic streptococcus,747
Neisseria species,734
Staphylococcus lugdunensis,729
Gram-negative bacilli,695
Corynebacterium species,677
Bacteroides fragilis group,677
Providencia stuartii,668
Proteus species,654
Mycobacterium abscessus,652
Aeromonas species,644
Haemophilus influenzae,636
Staphylococcus capitis,617
"Streptococcus, viridans group",598
Streptococcus constellatus,579
Streptococcus species,551
Bacteroides species,536
Enterococcus avium,503
Acinetobacter baumannii,492
Acid-fast bacillus,468
Yeast,450
Enterococcus species,422
Rothia mucilaginosa,418
Clostridium perfringens,411
Serratia marcescens,394
Prevotella species,374
Staphylococcus caprae,371
Streptococcus mitis group,371
Bacillus species,364
Staphylococcus haemolyticus,343
Pichia kudriavzevii,342
Acinetobacter species,337
Mycobacterium fortuitum complex,309
Mycobacterium kansasii,291
Salmonella group D,290
Lactobacillus species,287
Streptococcus pyogenes,261
Gram-positive cocci,258
Streptococcus dysgalactiae,234
Klebsiella oxytoca,234
Finegoldia magna,225
Parvimonas micra,218
Anaerobic bacteria,216
Pseudomonas species,215
Prevotella bivia,214
Burkholderia cepacia complex,213
Enterococcus raffinosus,210
Citrobacter freundii complex,206
Streptococcus pneumoniae,204
Corynebacterium urealyticum,202
Peptostreptococcus species,201
Candida auris,198
Actinomyces species,194
Streptococcus bovis group,191
Bacteroides thetaiotaomicron,190
Salmonella Enteritidis,183
Streptococcus dysgalactiae subsp. equisimilis,180
Streptococcus intermedius,176
Candida dubliniensis,176
Achromobacter species,175
Providencia species,163
Streptococcus milleri group,161
Trichosporon asahii,156
Corynebacterium jeikeium,145
Enterococcus gallinarum,143
Anaerobic Gram-positive cocci,143
Fusobacterium species,143
Gram-positive bacilli,141
Staphylococcus species,138
Non-fermentative Gram-negative bacilli,137
Peptostreptococcus anaerobius,136
Streptococcus salivarius group,131
Staphylococcus hominis,128
Candida lusitaniae,127
Prevotella intermedia,126
Salmonella group B,125
Haemophilus parainfluenzae,120
Flavobacterium species,116
Gardnerella vaginalis,115
Cutibacterium acnes,114
Klebsiella variicola,112
Propionibacterium species,110
Peptoniphilus species,109
Bacteroides vulgatus,104
Eggerthella lenta,104
Streptococcus parasanguinis,101
Anaerobic Gram-negative bacilli,101
Talaromyces marneffei,98
Salmonella species,97
Micrococcus species,97
Enterococcus casseliflavus,96
Providencia rettgeri,95
Elizabethkingia species,92
