Organism,Count
Escherichia coli,128993
Candida albicans,75690
Pseudomonas aeruginosa,68549
Methicillin resistant Staphylococcus aureus,60241
Klebsiella pneumoniae,34051
Enterococcus faecium,32475
Staphylococcus aureus,27439
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,24822
"Staphylococcus, coagulase negative",23174
Stenotrophomonas maltophilia,22033
Klebsiella species,19926
Klebsiella pneumoniae complex,19784
Proteus mirabilis,19327
Enterococcus faecalis,15928
Candida glabrata,15598
Enterococcus species,15070
Candida tropicalis,14674
Candida species,13480
Corynebacterium striatum,9985
Acinetobacter species,8716
Diphtheroids,8241
Enterobacter cloacae complex,7889
Yeast,7674
Mycobacterium tuberculosis,7424
Candida parapsilosis,6889
Klebsiella aerogenes,6106
Enterobacter species,6064
Morganella morganii,5376
Coliform bacteria,5304
Staphylococcus epidermidis,4609
Streptococcus agalactiae,4423
Alpha-haemolytic streptococcus,3917
Bacteroides fragilis,3648
Streptococcus anginosus,3563
Citrobacter species,3425
Clostridioides difficile,3390
Proteus species,3334
Mycobacterium species,3282
Haemophilus influenzae,3230
Gram-negative bacilli,3212
Aeromonas species,3186
Acinetobacter baumannii,2808
Serratia species,2648
Mycobacterium tuberculosis complex,2497
Bacillus species,2383
Bacteroides species,2359
Bacteroides fragilis group,2300
Citrobacter koseri,2296
Neisseria species,2213
Streptococcus pneumoniae,2206
Clostridium perfringens,2163
"Streptococcus, group G",2149
Streptococcus pyogenes,2112
Candida parapsilosis complex,2033
Rothia mucilaginosa,1849
Corynebacterium species,1718
Serratia marcescens,1616
Acinetobacter baumannii group,1608
Streptococcus constellatus,1556
Pseudomonas species,1531
Enterococcus avium,1454
Lactobacillus species,1416
Providencia stuartii,1347
"Streptococcus, viridans group",1345
Streptococcus milleri group,1336
Streptococcus species,1236
Burkholderia cepacia complex,1201
Staphylococcus capitis,1198
Klebsiella oxytoca,1132
Salmonella group D,1039
Staphylococcus lugdunensis,1017
Pichia kudriavzevii,994
Staphylococcus haemolyticus,968
Candida auris,906
Citrobacter freundii complex,856
Prevotella species,846
Mycobacterium avium complex,795
Gram-positive cocci,788
Streptococcus mitis group,786
Enterococcus gallinarum,776
Salmonella Enteritidis,772
Trichosporon asahii,766
Candida lusitaniae,700
Enterobacter cloacae,671
Achromobacter species,662
Enterococcus raffinosus,653
Streptococcus bovis group,650
Anaerobic bacteria,625
Candida dubliniensis,617
Non-haemolytic streptococcus,608
Moraxella catarrhalis,593
Anaerobic Gram-negative bacilli,588
Bacteroides thetaiotaomicron,586
Vibrio vulnificus,581
Enterococcus casseliflavus,564
Peptostreptococcus species,547
Streptococcus dysgalactiae subsp. equisimilis,546
Mycobacterium abscessus,534
Staphylococcus species,534
Anaerobic Gram-positive cocci,533
Staphylococcus caprae,522
Corynebacterium urealyticum,504
Elizabethkingia species,491
Citrobacter freundii,481
Burkholderia cepacia,480
Aspergillus fumigatus,472
Salmonella group B,462
Streptococcus dysgalactiae,458
Eggerthella lenta,454
Trichosporon species,454
Fusobacterium species,453
Cutibacterium acnes,442
Streptococcus intermedius,439
Elizabethkingia meningoseptica,437
Providencia species,435
Flavobacterium species,417
Aeromonas hydrophila,408
Parvimonas micra,407
Actinomyces species,403
Corynebacterium jeikeium,394
Gram-positive bacilli,390
Micrococcus species,382
Talaromyces marneffei,382
Aspergillus species,366
Anaerobic Gram-positive bacilli,364
Achromobacter xylosoxidans,363
Candida guilliermondii,359
Cryptococcus neoformans,351
Propionibacterium species,348
Haemophilus parainfluenzae,346
Clostridium species,343
Mycobacterium kansasii,333
Staphylococcus hominis,328
Acid-fast bacillus,321
Candida krusei,317
Veillonella species,298
Bacteroides vulgatus,298
Streptococcus parasanguinis,291
Proteus vulgaris,285
Candida metapsilosis,283
Prevotella bivia,281
Klebsiella variicola,281
Serratia marcescens complex,277
Shewanella species,276
Streptococcus gallolyticus subspecies pasteurianus,274
Kodamaea ohmeri,274
Burkholderia pseudomallei,274
Salmonella species,258
Finegoldia magna,253
Non-fermentative Gram-negative bacilli,245
Chryseobacterium indologenes,240
Chryseobacterium species,238
Prevotella intermedia,236
Streptococcus salivarius group,234
Streptococcus gallolyticus,222
Trichophyton rubrum,219
Peptostreptococcus anaerobius,212
Mycobacterium fortuitum complex,204
Bacillus cereus group,200
Clostridium ramosum,197
Parabacteroides distasonis,192
Streptococcus salivarius,191
Mould,189
Candida orthopsilosis,186
Salmonella group C,184
Providencia rettgeri,176
Sphingomonas paucimobilis,173
Bacteroides ovatus,169
Leuconostoc species,169
Fusobacterium varium,168
Corynebacterium amycolatum,166
Granulicatella adiacens,161
Aspergillus flavus,159
Streptococcus sanguinis,158
Aeromonas caviae,157
Acinetobacter junii,154
Moraxella species,147
Enterobacter hormaechei,142
Saccharomyces cerevisiae,141
Aspergillus fumigatus complex,141
Burkholderia species,137
Elizabethkingia anophelis,135
"Streptococcus, group C",134
Alcaligenes faecalis,132
Prevotella buccae,127
Shewanella algae,126
Actinomyces odontolyticus,122
Fusarium species,121
Slackia exigua,119
Plesiomonas shigelloides,118
Clostridium innocuum,116
Micrococcus luteus,112
Gemella morbillorum,110
Streptococcus gordonii,106
Enterococcus hirae,101
Arcanobacterium haemolyticum,101
Streptococcus mitis,100
Gram-positive coccobacilli,99
Legionella pneumophila serogroup 1,98
Streptococcus oralis,98
Gemella species,98
Salmonella group E,97
Lactobacillus fermentum,96
Bacteroides uniformis,94
Bacillus cereus,89
Listeria monocytogenes,88
Aspergillus niger,87
Corynebacterium tuberculostearicum,87
Fusobacterium mortiferum,86
Prevotella melaninogenica,86
Bifidobacterium species,86
Eikenella corrodens,85
Actinomyces turicensis,82
Aeromonas veronii,82
Pseudomonas putida group,82
Staphylococcus warneri,80
Kluyvera species,79
Peptoniphilus species,77
Corynebacterium resistens,76
Pseudomonas putida,74
Aerococcus urinae,73
Ochrobactrum species,72
Vibrio parahaemolyticus,71
Sphingomonas species,70
Nocardia species,70
Chryseobacterium gleum,69
Clavispora lusitaniae,69
Lactobacillus rhamnosus,69
Pichia species,69
Candida nivariensis,69
Mycobacterium chelonae,68
Lactococcus species,67
Alcaligenes species,67
Salmonella Typhi,66
Fusobacterium nucleatum,66
Aeromonas sobria,65
Campylobacter jejuni,65
Pluralibacter gergoviae,64
Raoultella species,62
Haemophilus parahaemolyticus,62
"Vibrio cholerae, non-O1/non-O139",62
Lactobacillus salivarius,62
Gardnerella vaginalis,61
Beta-haemolytic streptococcus,60
Peptoniphilus harei,60
Candida norvegensis,59
Bacteroides pyogenes,58
Ralstonia mannitolilytica,58
Citrobacter amalonaticus complex,57
Prevotella nigrescens,57
Kluyveromyces marxianus,56
Acinetobacter ursingii,56
Legionella pneumophila,55
Bacteroides caccae,55
Proteus penneri,55
Eubacterium species,54
Pseudomonas stutzeri,53
Lactococcus garvieae,52
Proteus hauseri,52
Acinetobacter bereziniae,52
Lactobacillus paracasei,52
Lactobacillus gasseri,52
"Mycobacterium, non-TB",51
Rhizopus species,51
Comamonas species,51
Mycobacterium fortuitum,50
Clostridium tertium,50
Campylobacter coli,49
Carbapenem resistant Acinetobacter baumannii,48
Neisseria meningitidis,48
Mycoplasma hominis,47
Dermabacter hominis,47
Rothia species,46
Kocuria species,45
Pichia norvegensis,45
Salmonella typhimurium,44
Moraxella osloensis,44
Pediococcus species,43
Prevotella denticola,43
Pantoea species,42
Edwardsiella tarda,42
Trichophyton rubrum complex,42
Citrobacter amalonaticus,42
Citrobacter braakii,42
Pseudomonas otitidis,41
Bacteroides nordii,41
Candida glabrata complex,40
Aspergillus flavus complex,39
Streptococcus suis,39
Aspergillus terreus,39
Staphylococcus saccharolyticus,39
Dialister pneumosintes,38
Delftia acidovorans,38
Aspergillus niger complex,38
Rapid growing mycobacteria,37
Shewanella putrefaciens,37
Clostridium paraputrificum,37
Mycobacterium mageritense,36
Corynebacterium macginleyi,36
Pasteurella multocida,36
Mycobacterium gordonae,36
Aeromonas veronii biovar sobria,36
Anaerobic Gram-negative cocci,36
Aerococcus species,35
Penicillium species,35
Raoultella ornithinolytica,35
Aggregatibacter aphrophilus,35
Enterococcus cecorum,35
Peptostreptococcus micros,34
Bacteroides salyersiae,34
Vibrio fluvialis,34
Lodderomyces elongisporus,34
Streptococcus gallolyticus subspecies gallolyticus,34
Brevibacterium species,34
Capnocytophaga species,34
Corynebacterium pseudodiphtheriticum,33
Trichosporon mucoides,33
Anaerococcus species,33
Leuconostoc lactis,33
Staphylococcus saprophyticus,33
"Streptococcus, group D",32
Cryptococcus species,32
Raoultella planticola,32
Geotrichum species,32
Hafnia alvei,31
Bilophila wadsworthia,31
Comamonas kerstersii,31
Veillonella parvula,30
Haemophilus haemolyticus,30
Actinotignum species,30
