Organism,Count,Year
Methicillin resistant Staphylococcus aureus,1687,2003
Candida albicans,1438,2003
Pseudomonas aeruginosa,1425,2003
Escherichia coli,1268,2003
Acinetobacter species,635,2003
Enterococcus species,595,2003
Klebsiella species,567,2003
"Staphylococcus, coagulase negative",520,2003
Stenotrophomonas maltophilia,492,2003
Candida species,432,2003
Yeast,425,2003
Staphylococcus epidermidis,240,2003
Coliform bacteria,229,2003
Klebsiella pneumoniae,227,2003
Staphylococcus aureus,218,2003
Enterobacter species,157,2003
Bacillus species,114,2003
Pseudomonas species,113,2003
Morganella morganii,97,2003
Diphtheroids,95,2003
Enterococcus faecalis,81,2003
Proteus mirabilis,81,2003
Candida glabrata,76,2003
Streptococcus milleri group,67,2003
Serratia species,60,2003
Bacteroides species,56,2003
Candida tropicalis,52,2003
Proteus species,51,2003
Haemophilus influenzae,51,2003
Citrobacter species,49,2003
Mycobacterium tuberculosis,46,2003
Acinetobacter baumannii,44,2003
Corynebacterium striatum,44,2003
Flavobacterium species,44,2003
Mycobacterium species,44,2003
Corynebacterium species,39,2003
Enterobacter cloacae,34,2003
Enterococcus faecium,33,2003
Trichosporon species,32,2003
Providencia species,32,2003
Bacteroides fragilis,32,2003
Aeromonas hydrophila,31,2003
Streptococcus pneumoniae,30,2003
Elizabethkingia meningoseptica,30,2003
Aeromonas species,28,2003
Candida parapsilosis,27,2003
Klebsiella aerogenes,25,2003
Serratia marcescens,23,2003
Proteus vulgaris,22,2003
Alpha-haemolytic streptococcus,22,2003
Salmonella group D,22,2003
Streptococcus agalactiae,20,2003
Achromobacter xylosoxidans,19,2003
Clostridium perfringens,18,2003
Non-haemolytic streptococcus,17,2003
Burkholderia cepacia,17,2003
Klebsiella oxytoca,16,2003
Chryseobacterium indologenes,15,2003
Cryptococcus neoformans,15,2003
Bacteroides fragilis group,15,2003
Streptococcus constellatus,15,2003
Sphingomonas paucimobilis,13,2003
Streptococcus pyogenes,13,2003
Talaromyces marneffei,13,2003
Micrococcus species,12,2003
Corynebacterium jeikeium,12,2003
Staphylococcus haemolyticus,10,2003
Aspergillus fumigatus,10,2003
"Streptococcus, viridans group",10,2003
Clostridium species,9,2003
"Streptococcus, group G",9,2003
Providencia stuartii,9,2003
Peptostreptococcus species,9,2003
Staphylococcus species,9,2003
Lactobacillus species,8,2003
Citrobacter koseri,8,2003
Anaerobic Gram-positive cocci,8,2003
Pichia kudriavzevii,8,2003
Staphylococcus capitis,7,2003
Streptococcus bovis group,7,2003
Cutibacterium acnes,7,2003
Citrobacter freundii,7,2003
Anaerobic bacteria,7,2003
Moraxella catarrhalis,6,2003
Bacillus cereus,6,2003
Citrobacter youngae,6,2003
Aspergillus species,6,2003
"Streptococcus, group F",6,2003
Streptococcus intermedius,6,2003
Salmonella Enteritidis,6,2003
Haemophilus parainfluenzae,5,2003
Gram-negative bacilli,5,2003
Alcaligenes species,5,2003
Candida lusitaniae,5,2003
Streptococcus mitis,5,2003
Veillonella species,5,2003
Anaerobic diphtheroids,5,2003
Peptococcus species,4,2003
Nocardia asteroides,4,2003
Eikenella corrodens,4,2003
Corynebacterium urealyticum,4,2003
Trichophyton rubrum,4,2003
Salmonella Typhi,4,2003
Gardnerella vaginalis,4,2003
Neisseria species,4,2003
Candida guilliermondii,4,2003
Mycobacterium fortuitum,3,2003
Enterococcus gallinarum,3,2003
Aeromonas veronii,3,2003
Propionibacterium species,3,2003
Acid-fast bacillus,3,2003
Fusobacterium species,3,2003
Enterococcus casseliflavus,3,2003
Aeromonas caviae,3,2003
Mycobacterium avium complex,2,2003
Non-fermentative Gram-negative bacilli,2,2003
Vibrio parahaemolyticus,2,2003
Fusarium species,2,2003
Staphylococcus warneri,2,2003
Trichosporon cutaneum,2,2003
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,2,2003
Anaerobic Gram-negative bacilli,2,2003
Pseudomonas stutzeri,2,2003
Ochrobactrum anthropi,2,2003
Klebsiella pneumoniae subsp. Ozaenae,2,2003
Trichosporon asahii,2,2003
Aerococcus species,2,2003
Plesiomonas shigelloides,2,2003
Prevotella species,2,2003
Pseudomonas putida,2,2003
Lactobacillus,2,2003
Gram-positive cocci,2,2003
Streptococcus anginosus,2,2003
Prevotella buccae,2,2003
Enterococcus avium,2,2003
"Streptococcus, group D",2,2003
Clostridium ramosum,1,2003
Brevundimonas diminuta,1,2003
Prevotella bivia,1,2003
Peptostreptococcus micros,1,2003
Prevotella melaninogenica,1,2003
Fusobacterium necrophorum,1,2003
"Mycobacterium, non-TB",1,2003
Rhodotorula species,1,2003
Mycoplasma species,1,2003
Eubacterium aerofaciens,1,2003
Pseudomonas oryzihabitans,1,2003
Oerskovia species,1,2003
Fusobacterium necrogenes,1,2003
Prevotella buccalis,1,2003
Pasteurella species,1,2003
Chryseomonas luteola,1,2003
Fusobacterium mortiferum,1,2003
Mycobacterium tuberculosis complex,1,2003
Neisseria cinerea,1,2003
Myroides species,1,2003
Mycoplasma hominis,1,2003
Aeromonas sobria,1,2003
Fusobacterium nucleatum,1,2003
Aspergillus flavus,1,2003
Vibrio vulnificus,1,2003
Pseudomonas fluorescens,1,2003
Providencia rettgeri,1,2003
Rhizobium radiobacter,1,2003
Proteus penneri,1,2003
Gemella species,1,2003
Aspergillus niger,1,2003
Acremonium species,1,2003
Salmonella species,1,2003
Staphylococcus hominis,1,2003
Eggerthella lenta,1,2003
Aerococcus viridans,1,2003
"Streptococcus, group C",1,2003
Nocardia species,1,2003
Bacteroides stercoris,1,2003
Streptococcus mitis group,1,2003
Kluyvera species,1,2003
Staphylococcus saprophyticus,1,2003
Trichoderma species,1,2003
Beta-haemolytic streptococcus,1,2003
Salmonella group B,1,2003
Listeria monocytogenes,1,2003
Arcanobacterium haemolyticum,1,2003
Delftia acidovorans,1,2003
Chryseobacterium species,1,2003
Anaerobic Gram-positive bacilli,1,2003
Haemophilus parahaemolyticus,1,2003
Salmonella group E,1,2003
Clostridium subterminale,1,2003
"Vibrio cholerae, non-O1/non-O139",1,2003
Sphingobacterium species,1,2003
CDC Corynebacterium group G,1,2003
Salmonella group C1,1,2003
Candida famata,1,2003
Rhodococcus species,1,2003
Gemella morbillorum,1,2003
Corynebacterium afermentans,1,2003
Pseudomonas aeruginosa,2091,2004
Escherichia coli,1943,2004
Methicillin resistant Staphylococcus aureus,1832,2004
Candida albicans,1553,2004
Enterococcus species,907,2004
Klebsiella species,818,2004
Acinetobacter species,683,2004
Stenotrophomonas maltophilia,630,2004
"Staphylococcus, coagulase negative",581,2004
Candida species,570,2004
Yeast,462,2004
Staphylococcus epidermidis,323,2004
Staphylococcus aureus,315,2004
Klebsiella pneumoniae,290,2004
Coliform bacteria,256,2004
Enterobacter species,206,2004
Diphtheroids,148,2004
Proteus mirabilis,132,2004
Bacillus species,116,2004
Morganella morganii,110,2004
Bacteroides species,107,2004
Pseudomonas species,98,2004
Enterococcus faecalis,92,2004
Candida tropicalis,89,2004
Citrobacter species,76,2004
Proteus species,72,2004
Enterobacter cloacae,65,2004
Serratia species,63,2004
Streptococcus milleri group,57,2004
Candida glabrata,56,2004
Mycobacterium tuberculosis,53,2004
Haemophilus influenzae,51,2004
Bacteroides fragilis,47,2004
Corynebacterium striatum,44,2004
Streptococcus pneumoniae,43,2004
Klebsiella aerogenes,37,2004
Acinetobacter baumannii,36,2004
Enterococcus faecium,36,2004
Alpha-haemolytic streptococcus,36,2004
Aeromonas hydrophila,33,2004
Streptococcus agalactiae,33,2004
Non-haemolytic streptococcus,31,2004
Serratia marcescens,31,2004
Corynebacterium species,30,2004
Bacteroides fragilis group,30,2004
Candida parapsilosis,30,2004
Burkholderia cepacia,30,2004
Providencia species,30,2004
"Streptococcus, group G",29,2004
Achromobacter xylosoxidans,25,2004
Aeromonas species,24,2004
Elizabethkingia meningoseptica,24,2004
Klebsiella oxytoca,23,2004
Anaerobic Gram-positive cocci,23,2004
Streptococcus constellatus,23,2004
Chryseobacterium indologenes,21,2004
Clostridium perfringens,19,2004
Citrobacter freundii,18,2004
Proteus vulgaris,17,2004
Flavobacterium species,15,2004
Trichosporon species,14,2004
Moraxella catarrhalis,14,2004
Mycobacterium species,13,2004
Streptococcus bovis group,12,2004
Alcaligenes species,12,2004
Clostridium species,12,2004
Citrobacter koseri,11,2004
Aeromonas caviae,10,2004
Micrococcus species,10,2004
Anaerobic bacteria,10,2004
Providencia stuartii,10,2004
Aeromonas sobria,10,2004
"Streptococcus, viridans group",9,2004
Corynebacterium jeikeium,9,2004
Prevotella melaninogenica,9,2004
Staphylococcus species,9,2004
Propionibacterium species,8,2004
Peptostreptococcus species,8,2004
Neisseria species,8,2004
Acid-fast bacillus,8,2004
Lactobacillus,8,2004
"Streptococcus, group D",8,2004
Vibrio vulnificus,7,2004
Pichia kudriavzevii,7,2004
Streptococcus mitis,7,2004
Acinetobacter haemolyticus,7,2004
Fusobacterium species,7,2004
Salmonella group D,7,2004
Arcanobacterium haemolyticum,6,2004
Cryptococcus neoformans,6,2004
"Streptococcus, group F",6,2004
Aspergillus species,6,2004
Rothia mucilaginosa,6,2004
Lactobacillus species,6,2004
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,6,2004
Leuconostoc species,6,2004
Ochrobactrum anthropi,5,2004
Enterococcus avium,5,2004
Haemophilus parainfluenzae,5,2004
Bacillus cereus,5,2004
Aspergillus flavus,5,2004
Trichophyton rubrum,5,2004
Nocardia species,4,2004
Streptococcus dysgalactiae subsp. equisimilis,4,2004
Sphingomonas species,4,2004
Dermabacter hominis,4,2004
Corynebacterium urealyticum,4,2004
Streptococcus intermedius,4,2004
Staphylococcus haemolyticus,4,2004
Aspergillus fumigatus,4,2004
Salmonella group B,4,2004
Edwardsiella tarda,4,2004
Trichosporon cutaneum,3,2004
Prevotella bivia,3,2004
Staphylococcus capitis,3,2004
Gram-negative bacilli,3,2004
Mycobacterium avium complex,3,2004
Anaerobic Gram-positive bacilli,3,2004
Enterococcus gallinarum,3,2004
Burkholderia species,3,2004
Citrobacter youngae,3,2004
Veillonella species,3,2004
Eikenella corrodens,3,2004
Anaerobic diphtheroids,3,2004
Talaromyces marneffei,3,2004
Streptococcus anginosus,3,2004
Bacteroides ureolyticus,2,2004
Staphylococcus hominis,2,2004
Eubacterium species,2,2004
Bacteroides thetaiotaomicron,2,2004
Proteus penneri,2,2004
Prevotella oralis,2,2004
Candida guilliermondii,2,2004
Rhizopus species,2,2004
Citrobacter braakii,2,2004
Alcaligenes faecalis,2,2004
Mycobacterium chelonae,2,2004
Trichosporon mucoides,2,2004
Streptococcus species,2,2004
Salmonella group C,2,2004
Delftia acidovorans,2,2004
Prevotella species,2,2004
Anaerobic Gram-negative bacilli,2,2004
Klebsiella pneumoniae subsp. Ozaenae,2,2004
Sphingomonas paucimobilis,2,2004
Enterococcus casseliflavus,2,2004
Clostridioides difficile,2,2004
Beta-haemolytic streptococcus,2,2004
Mycobacterium tuberculosis complex,2,2004
Peptococcus species,2,2004
Eggerthella lenta,2,2004
Streptococcus pyogenes,2,2004
Providencia rettgeri,2,2004
Burkholderia pseudomallei,1,2004
Salmonella choleraesuis,1,2004
Bifidobacterium adolescentis,1,2004
Bacteroides caccae,1,2004
Clostridium ramosum,1,2004
Mycobacterium kansasii,1,2004
Mycobacterium gordonae,1,2004
Tsukamurella species,1,2004
Acinetobacter lwoffii,1,2004
Aspergillus terreus,1,2004
Porphyromonas endodontalis,1,2004
Anaerococcus tetradius,1,2004
Porphyromonas asaccharolytica,1,2004
Aeromonas veronii,1,2004
Bacteroides stercoris,1,2004
Chryseobacterium species,1,2004
Lactobacillus acidophilus,1,2004
"Streptococcus, group C",1,2004
Salmonella Typhi,1,2004
Candida famata,1,2004
Fusobacterium nucleatum,1,2004
Tsukamurella pulmonis,1,2004
Candida lusitaniae,1,2004
Enterococcus hirae,1,2004
Anaerococcus prevotii,1,2004
Bifidobacterium species,1,2004
Clostridium symbiosum,1,2004
Plesiomonas shigelloides,1,2004
Trichosporon asahii,1,2004
Vibrio parahaemolyticus,1,2004
Vibrio alginolyticus,1,2004
Sphingobacterium species,1,2004
Staphylococcus simulans,1,2004
Salmonella Paratyphi A,1,2004
Campylobacter jejuni,1,2004
Streptomyces species,1,2004
Aerococcus species,1,2004
Nocardia asteroides,1,2004
Bordetella bronchiseptica,1,2004
Pantoea species,1,2004
Shigella sonnei,1,2004
Bacteroides vulgatus,1,2004
Rapid growing mycobacteria,1,2004
Enterobacter asburiae,1,2004
Neisseria gonorrhoeae,1,2004
Gemella haemolysans,1,2004
Ralstonia picketti,1,2004
Exophiala dermatitidis,1,2004
Campylobacter jejuni subsp. Jejuni,1,2004
Salmonella Enteritidis,1,2004
Aspergillus niger,1,2004
Pseudomonas stutzeri,1,2004
Pseudomonas fluorescens,1,2004
Chrysosporium species,1,2004
Gemella species,1,2004
Streptococcus sanguinis,1,2004
Pseudomonas putida,1,2004
Neisseria meningitidis,1,2004
Escherichia coli,2184,2005
Pseudomonas aeruginosa,1795,2005
Candida albicans,1757,2005
Methicillin resistant Staphylococcus aureus,1713,2005
"Staphylococcus, coagulase negative",961,2005
Enterococcus species,903,2005
Klebsiella species,841,2005
Acinetobacter species,767,2005
Stenotrophomonas maltophilia,692,2005
Candida species,691,2005
Yeast,363,2005
Klebsiella pneumoniae,348,2005
Staphylococcus aureus,316,2005
