Organism,Count,Year
Methicillin resistant Staphylococcus aureus,899,2003
Candida albicans,807,2003
Pseudomonas aeruginosa,591,2003
Escherichia coli,573,2003
Acinetobacter species,337,2003
"Staphylococcus, coagulase negative",300,2003
Stenotrophomonas maltophilia,296,2003
Klebsiella species,295,2003
Enterococcus species,287,2003
Candida species,241,2003
Yeast,195,2003
Klebsiella pneumoniae,132,2003
Staphylococcus epidermidis,115,2003
Coliform bacteria,95,2003
Staphylococcus aureus,90,2003
Enterobacter species,77,2003
Bacillus species,67,2003
Candida glabrata,62,2003
Morganella morganii,58,2003
Pseudomonas species,53,2003
Enterococcus faecalis,51,2003
Diphtheroids,41,2003
Mycobacterium species,38,2003
Candida tropicalis,34,2003
Proteus mirabilis,32,2003
Streptococcus milleri group,32,2003
Serratia species,26,2003
Trichosporon species,26,2003
Elizabethkingia meningoseptica,25,2003
Enterobacter cloacae,24,2003
Acinetobacter baumannii,24,2003
Bacteroides fragilis,23,2003
Corynebacterium species,22,2003
Corynebacterium striatum,22,2003
Bacteroides species,22,2003
Haemophilus influenzae,21,2003
Candida parapsilosis,21,2003
Citrobacter species,21,2003
Klebsiella aerogenes,20,2003
Enterococcus faecium,18,2003
Proteus species,17,2003
Achromobacter xylosoxidans,16,2003
Burkholderia cepacia,14,2003
Flavobacterium species,13,2003
Cryptococcus neoformans,12,2003
Providencia species,12,2003
Chryseobacterium indologenes,11,2003
Talaromyces marneffei,11,2003
Klebsiella oxytoca,11,2003
Corynebacterium jeikeium,11,2003
Streptococcus pneumoniae,10,2003
Streptococcus agalactiae,10,2003
Aeromonas species,9,2003
Serratia marcescens,8,2003
Sphingomonas paucimobilis,8,2003
Bacteroides fragilis group,8,2003
Proteus vulgaris,8,2003
Mycobacterium tuberculosis,8,2003
Lactobacillus species,7,2003
Salmonella group D,7,2003
"Streptococcus, group G",7,2003
Pichia kudriavzevii,7,2003
Staphylococcus haemolyticus,6,2003
Citrobacter youngae,6,2003
Providencia stuartii,6,2003
Aspergillus fumigatus,6,2003
Aspergillus species,6,2003
Clostridium species,6,2003
Anaerobic diphtheroids,5,2003
Clostridium perfringens,5,2003
Bacillus cereus,5,2003
Micrococcus species,5,2003
Candida lusitaniae,5,2003
Streptococcus constellatus,5,2003
Alpha-haemolytic streptococcus,5,2003
Aeromonas hydrophila,5,2003
Cutibacterium acnes,4,2003
Peptostreptococcus species,4,2003
Non-haemolytic streptococcus,4,2003
Streptococcus intermedius,4,2003
Salmonella Enteritidis,4,2003
Candida guilliermondii,4,2003
Nocardia asteroides,4,2003
Staphylococcus species,3,2003
Salmonella Typhi,3,2003
"Streptococcus, viridans group",3,2003
Alcaligenes species,2,2003
Corynebacterium urealyticum,2,2003
Propionibacterium species,2,2003
Acid-fast bacillus,2,2003
Gram-negative bacilli,2,2003
Anaerobic bacteria,2,2003
Gram-positive cocci,2,2003
Streptococcus bovis group,2,2003
Gardnerella vaginalis,2,2003
Enterococcus gallinarum,2,2003
Staphylococcus capitis,2,2003
Neisseria species,2,2003
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,2,2003
Klebsiella pneumoniae subsp. Ozaenae,2,2003
Enterococcus avium,2,2003
Plesiomonas shigelloides,2,2003
Trichophyton rubrum,2,2003
Aerococcus species,2,2003
Anaerobic Gram-positive cocci,2,2003
Citrobacter koseri,2,2003
Peptococcus species,2,2003
Fusobacterium necrogenes,1,2003
Fusobacterium mortiferum,1,2003
Fusobacterium necrophorum,1,2003
Trichosporon cutaneum,1,2003
Fusarium species,1,2003
Eubacterium aerofaciens,1,2003
Pseudomonas oryzihabitans,1,2003
Mycoplasma species,1,2003
Prevotella bivia,1,2003
Mycobacterium tuberculosis complex,1,2003
"Streptococcus, group F",1,2003
Pasteurella species,1,2003
Fusobacterium nucleatum,1,2003
"Mycobacterium, non-TB",1,2003
Brevundimonas diminuta,1,2003
Rhodotorula species,1,2003
Lactobacillus,1,2003
Mycoplasma hominis,1,2003
Gemella species,1,2003
Clostridium ramosum,1,2003
Vibrio vulnificus,1,2003
Enterococcus casseliflavus,1,2003
Streptococcus mitis group,1,2003
Nocardia species,1,2003
Pseudomonas stutzeri,1,2003
Eggerthella lenta,1,2003
Acremonium species,1,2003
Aspergillus niger,1,2003
Proteus penneri,1,2003
Aspergillus flavus,1,2003
Staphylococcus saprophyticus,1,2003
Trichoderma species,1,2003
Gemella morbillorum,1,2003
CDC Corynebacterium group G,1,2003
Trichosporon asahii,1,2003
Clostridium subterminale,1,2003
Haemophilus parainfluenzae,1,2003
Mycobacterium avium complex,1,2003
Streptococcus mitis,1,2003
Chryseobacterium species,1,2003
Delftia acidovorans,1,2003
Arcanobacterium haemolyticum,1,2003
Beta-haemolytic streptococcus,1,2003
Aeromonas caviae,1,2003
Corynebacterium afermentans,1,2003
Pseudomonas aeruginosa,1090,2004
Methicillin resistant Staphylococcus aureus,987,2004
Escherichia coli,918,2004
Candida albicans,871,2004
Enterococcus species,427,2004
Acinetobacter species,395,2004
Klebsiella species,367,2004
Stenotrophomonas maltophilia,327,2004
"Staphylococcus, coagulase negative",315,2004
Candida species,288,2004
Yeast,282,2004
Staphylococcus aureus,176,2004
Klebsiella pneumoniae,152,2004
