Race Description,count
CHINESE/中國大陸,76884
UNKNOWN,2576
FILIPINO/菲律賓,358
INDONESIAN/印尼,218
NEPALESE/尼泊爾,190
INDIAN/印度,186
BRITISH/英國,178
OTHERS,165
THAI/泰國,149
PAKISTANI/巴基斯坦,148
VIETNAMESE/越南,42
AMERICAN/美國,37
JAPANESE/日本,29
CANADIAN/加拿大,18
KOREAN/南韓,16
MALAYSIAN/馬來西亞,13
AUSTRALIAN/澳洲,12
PORTUGUESE/葡萄牙,11
SINGAPOREAN/新加坡,9
OTHER ASIAN,7
NETHERLANDER/荷蘭,6
FRENCH/法國,6
GERMAN/德國,4
ITALIAN/意大利,4
AFRICAN/非洲,3
BURMESE/緬甸,3
SWISS/瑞士,2
RUSSIAN/俄羅斯,1
OTHER EUROPEAN,1
IRISHMAN/愛爾蘭,1
ISRAELI/以色列,1
CUBAN/古巴,1
SPANISH/西班牙,1
BRAZILIAN/巴西,1
BELGIAN/比利時,1
NEW ZEALANDER/新西蘭,1
ARGENTINIAN/阿根廷,1
COLOMBIAN/哥倫比亞,1
PERUVIAN/秘魯,1
NORWEGIAN/挪威,1
CHILEAN/智利,1
VENEZUELAN/委內瑞拉,1
